@relation 'virus-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute header.e_phnum numeric
@attribute header.e_shnum numeric
@attribute SHT_DYNSYM.header.sh_link numeric
@attribute PT_LOAD1.header.p_vaddr numeric
@attribute PT_LOAD2.header.p_offset numeric
@attribute result {virus,begnign}

@data
9,29,7,134512640,36580,begnign
8,28,7,134512640,3836,begnign
8,28,7,134512640,12044,begnign
9,29,7,134512640,44812,begnign
8,28,7,134512640,28388,begnign
9,29,7,134512640,93948,begnign
9,29,7,134512640,167652,begnign
8,28,7,134512640,3852,begnign
8,28,7,0,28396,begnign
8,28,7,134512640,7940,begnign
8,28,7,134512640,28420,begnign
8,28,7,134512640,7932,begnign
9,29,7,134512640,7948,begnign
8,28,7,134512640,12044,begnign
8,28,7,0,100716,begnign
8,27,7,134512640,12028,begnign
8,28,7,134512640,16140,begnign
8,27,7,134512640,7812,begnign
9,29,7,134512640,24332,begnign
8,28,7,0,100716,begnign
9,29,7,134512640,16112,begnign
8,28,7,134512640,16128,begnign
8,28,7,134512640,16108,begnign
8,28,7,134512640,32484,begnign
8,30,7,134512640,53004,begnign
9,30,7,134512640,228676,begnign
8,28,7,134512640,20220,begnign
9,29,7,134512640,89868,begnign
8,28,7,134512640,12028,begnign
8,28,7,134512640,48908,begnign
9,29,7,134512640,36596,begnign
9,29,7,134512640,167652,begnign
9,29,7,134512640,24332,begnign
8,28,7,134512640,12036,begnign
8,27,7,0,7760,begnign
8,28,7,134512640,3852,begnign
8,28,7,134512640,7936,begnign
8,28,7,0,100716,begnign
9,29,7,134512640,32500,begnign
8,28,7,134512640,12036,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,16108,begnign
9,29,7,134512640,53004,begnign
8,28,7,134512640,12036,begnign
8,28,7,134512640,7948,begnign
8,27,7,0,7760,begnign
8,28,7,134512640,7948,begnign
8,28,7,134512640,20236,begnign
8,28,7,0,100716,begnign
